This is a training script for a diffusion model on brain MRI slices. It discovers thin subjects, preprocesses volumes, builds a disk cache of slices, and trains a UNet-based diffusion model using PyTorch and W&B for logging.
/workspace/Brats/venv/lib/python3.12/site-packages/nibabel/optpkg.py:104: UserWarning: A NumPy version >=1.22.4 and <2.3.0 is required for this version of SciPy (detected version 2.4.3)
  pkg = __import__(name, fromlist=fromlist)
<frozen importlib._bootstrap_external>:1297: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
21:56:41 | INFO | Log file : /workspace/Brats/logs/train_base_model_20260404_215641.log
21:56:41 | INFO | Data root: /workspace/Brats/brain_only
21:56:41 | INFO | Device   : cuda | PyTorch: 2.11.0+cu128
21:56:48 | INFO | Cache index found, skipping build...
21:56:49 | INFO | Dataset: 39063 slices
21:56:49 | INFO | Dataset: 4729 slices
21:56:49 | INFO | Train subjects: 204 | slices: 39063 | batches/epoch: 4882
21:56:49 | INFO | Val   subjects: 25   | slices: 4729   | batches/epoch: 592
21:56:49 | INFO | Total params: 42.86 M
21:56:49 | INFO | Schedulers ready.
21:56:49 | INFO | N_EPOCHS: 100 | LR: 0.0001 | Batch: 8
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: rahul23082001jha to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run pkp0qkmj
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /workspace/Brats/wandb/run-20260404_215651-pkp0qkmj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run light-firefly-10
wandb: ⭐️ View project at https://wandb.ai/rahul23082001jha/Brats
wandb: 🚀 View run at https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
21:56:58 | INFO | W&B run: https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
21:57:16 | INFO | E0001 | step 0100/4882 | loss=0.03234 | grad=1.097 | t=[13,983]
21:57:28 | INFO | E0001 | step 0200/4882 | loss=0.00497 | grad=0.078 | t=[114,815]
21:57:40 | INFO | E0001 | step 0300/4882 | loss=0.00720 | grad=0.096 | t=[43,873]
21:57:51 | INFO | E0001 | step 0400/4882 | loss=0.01608 | grad=0.360 | t=[10,844]
21:58:03 | INFO | E0001 | step 0500/4882 | loss=0.00903 | grad=0.067 | t=[11,805]
21:58:15 | INFO | E0001 | step 0600/4882 | loss=0.00174 | grad=0.028 | t=[328,996]
21:58:26 | INFO | E0001 | step 0700/4882 | loss=0.00902 | grad=0.043 | t=[24,926]
21:58:38 | INFO | E0001 | step 0800/4882 | loss=0.00178 | grad=0.042 | t=[233,988]
21:58:50 | INFO | E0001 | step 0900/4882 | loss=0.00433 | grad=0.046 | t=[83,944]
21:59:02 | INFO | E0001 | step 1000/4882 | loss=0.00543 | grad=0.030 | t=[90,843]
21:59:13 | INFO | E0001 | step 1100/4882 | loss=0.00135 | grad=0.019 | t=[162,869]
21:59:25 | INFO | E0001 | step 1200/4882 | loss=0.00561 | grad=0.110 | t=[80,934]
21:59:37 | INFO | E0001 | step 1300/4882 | loss=0.02362 | grad=0.197 | t=[13,955]
21:59:48 | INFO | E0001 | step 1400/4882 | loss=0.02420 | grad=0.386 | t=[6,686]
22:00:00 | INFO | E0001 | step 1500/4882 | loss=0.00167 | grad=0.060 | t=[222,991]
22:00:12 | INFO | E0001 | step 1600/4882 | loss=0.00825 | grad=0.073 | t=[44,903]
22:00:24 | INFO | E0001 | step 1700/4882 | loss=0.00325 | grad=0.060 | t=[42,996]
22:00:35 | INFO | E0001 | step 1800/4882 | loss=0.00806 | grad=0.088 | t=[55,891]
22:00:47 | INFO | E0001 | step 1900/4882 | loss=0.00370 | grad=0.023 | t=[101,941]
22:00:59 | INFO | E0001 | step 2000/4882 | loss=0.00086 | grad=0.027 | t=[365,957]
22:01:10 | INFO | E0001 | step 2100/4882 | loss=0.00503 | grad=0.057 | t=[20,992]
22:01:22 | INFO | E0001 | step 2200/4882 | loss=0.03194 | grad=0.259 | t=[3,965]
22:01:34 | INFO | E0001 | step 2300/4882 | loss=0.02777 | grad=0.160 | t=[9,895]
22:01:46 | INFO | E0001 | step 2400/4882 | loss=0.00274 | grad=0.026 | t=[99,881]
22:01:58 | INFO | E0001 | step 2500/4882 | loss=0.00133 | grad=0.027 | t=[271,976]
22:02:09 | INFO | E0001 | step 2600/4882 | loss=0.00338 | grad=0.024 | t=[26,588]
22:02:21 | INFO | E0001 | step 2700/4882 | loss=0.01073 | grad=0.050 | t=[25,951]
22:02:33 | INFO | E0001 | step 2800/4882 | loss=0.00383 | grad=0.031 | t=[77,815]
22:02:44 | INFO | E0001 | step 2900/4882 | loss=0.02339 | grad=0.200 | t=[3,819]
22:02:56 | INFO | E0001 | step 3000/4882 | loss=0.00085 | grad=0.044 | t=[344,995]
